Date,Open,High,Low,Close,Volume,Price_Change,Daily_Return_Pct
2024-01-01,101.77,102.19,99.38,100.85,330701.0,,
2024-01-02,102.65,102.95,100.5,100.74,289687.0,-0.10999999999999943,-0.10907288051561492
2024-01-03,100.41,103.12,100.18,101.81,440634.0,1.0700000000000074,1.062140162795333
2024-01-04,104.76,106.2,104.07,104.19,235683.0,2.3799999999999955,2.3376878499165032
2024-01-05,103.29,104.1,101.37,103.94,368182.0,-0.25,-0.23994625203954678
2024-01-08,103.2,105.57,101.7,105.05,419940.0,1.1099999999999994,1.0679238021935822
2024-01-09,105.57,106.36,104.8,106.16,275972.0,1.1099999999999994,1.0566396953831436
2024-01-10,106.55,108.54,105.88,107.41,126656.0,1.25,1.177467972871149
2024-01-11,106.86,108.3,106.04,106.81,27087.0,-0.5999999999999943,-0.5586072060329572
2024-01-12,106.89,109.48,105.32,107.72,415821.0,0.9099999999999966,0.8519801516711834
2024-01-15,107.4,108.85,105.77,107.13,303481.0,-0.5900000000000034,-0.5477163015224717
2024-01-16,106.48,108.15,106.03,106.53,146554.0,-0.5999999999999943,-0.5600672080649627
2024-01-17,106.75,107.74,106.32,106.99,241312.0,0.45999999999999375,0.4318032479113887
2024-01-18,103.31,105.87,103.03,104.22,495757.0,-2.769999999999996,-2.5890270118702596
2024-01-19,101.16,101.99,99.8,101.73,491512.0,-2.489999999999995,-2.3891767415083476
2024-01-22,101.74,103.54,99.44,100.99,192024.0,-0.7400000000000091,-0.7274157082473254
2024-01-23,100.07,101.21,98.97,99.57,146535.0,-1.4200000000000017,-1.4060798098821659
2024-01-24,99.16,101.79,99.02,100.14,253236.0,0.5700000000000074,0.5724615848147208
2024-01-25,98.98,99.94,98.62,98.88,80448.0,-1.2600000000000051,-1.2582384661473989
2024-01-26,97.61,98.94,94.92,96.86,14648.0,-2.019999999999996,-2.042880258899671
2024-01-29,98.535,100.26,96.83,99.16,402720.0,2.299999999999997,2.3745612223828205
2024-01-30,99.46,100.95,97.36,98.92,305767.0,-0.23999999999999488,-0.24203307785396477
2024-01-31,98.46,99.38,97.17,99.12,462372.0,0.20000000000000284,0.2021835826930829
2024-02-01,97.66,97.87,96.26,97.09,45634.0,-2.030000000000001,-2.0480225988700584
2024-02-02,95.61,96.94,95.11,96.37,447818.0,-0.7199999999999989,-0.7415799773406118
2024-02-05,94.83,97.04,94.5,96.63,386742.0,0.2599999999999909,0.26979350420255344
2024-02-06,93.38,96.76,92.11,95.01,321478.0,-1.6199999999999903,-1.6764979819931636
2024-02-07,95.72,96.24,94.1,95.67,340792.0,0.6599999999999966,0.6946637196084682
2024-02-08,95.13,97.08,93.55,94.87,32054.0,-0.7999999999999972,-0.8362077976377114
2024-02-09,93.63,95.27,92.52,94.53,80028.0,-0.3400000000000034,-0.35838515863814147
2024-02-13,94.95,98.21,93.01,96.61,483866.0,2.0799999999999983,2.20035967417751
